descriptor,missing_ratio,variance,mean,std
AXp-4d,0.16393442622950818,0.0012982104991889854,0.16384784941337915,0.03603068829746367
AXp-4dv,0.16393442622950818,0.0008131118052586074,0.05943686511347999,0.028515115382172444
AvgIpc,0.0,0.23452824851035647,1.9802377771632014,0.4842811667929659
BIC0,0.0,0.010973577372101407,0.3941951808691058,0.10475484414623223
BIC1,0.0,0.013690938824634414,0.6491540049864369,0.1170082852820022
BIC2,0.0,0.009504872309839105,0.7365461853278599,0.09749293466625725
BIC3,0.0,0.010098296520859288,0.783089283348483,0.10049028072833356
BIC4,0.0,0.0115267314471055,0.7962512242925733,0.1073626166181949
BIC5,0.0,0.011966607125906886,0.7998092190718615,0.10939198839909112
BalabanJ,0.0,2.1492220423005453,0.9652176675184644,1.466022524486082
BertzCT,0.0,51256.231092882736,261.59599024951325,226.3983902170745
C1SP2,0.0,1.1437785541521095,1.6557377049180328,1.0694758314950878
C1SP3,0.0,4.715936576189197,1.8524590163934427,2.171620725676838
C2SP2,0.0,17.17710292932007,2.737704918032787,4.144526864350148
C2SP3,0.0,4.4880408492340775,1.3442622950819672,2.1184996693967353
C3SP2,0.0,0.3165815640956731,0.2459016393442623,0.5626558131714922
C3SP3,0.0,0.16715936576189191,0.11475409836065574,0.40885127584721065
CIC0,0.0,0.7710054443245995,2.7641145649171643,0.8780691569145335
CIC1,0.0,0.530785334758977,1.5970260672658472,0.7285501593980863
CIC2,0.0,0.30411793747931354,1.1646939006386254,0.5514688907629455
CIC3,0.0,0.31184300173164464,0.9353107037222423,0.5584290480729353
CIC4,0.0,0.34544740712601196,0.8691907159476702,0.5877477410641507
CIC5,0.0,0.35532649265234656,0.8497389082296852,0.596092687970878
Chi0,0.0,30.874916798788647,10.731867287822071,5.5565202059192265
Chi0n,0.0,18.761713685939412,8.063726817726563,4.331479387684929
Chi0v,0.0,30.341664321879364,9.773025132132291,5.508326816909048
Chi1,0.0,11.903389881017523,6.326617829326323,3.4501289658529464
Chi1n,0.0,5.6949771081075555,3.8725900473950325,2.386415116468121
Chi1v,0.0,6.171178145364031,4.05871496112468,2.484185610087143
Chi2n,0.0,2.9262637958944238,2.612350530428523,1.7106325718559272
Chi2v,0.0,3.5135780208427962,2.789032053432444,1.8744540594111119
Chi3n,0.0,1.2964666257498858,1.434421849643809,1.138624883686408
Chi3v,0.0,1.4944279366515854,1.5254957533114577,1.2224679695810379
Chi4n,0.0,0.5459754645434417,0.7777110221231968,0.738901525606384
Chi4v,0.0,0.6405317556189701,0.8113929705374988,0.8003322782563316
Diameter,0.0,2144584597151308.5,68852460.40983607,46309659.868663564
ECIndex,0.0,3.47414128165203e+18,2072131166.409836,1863904847.7999165
EState_VSA1,0.0,191.34144911426253,17.410766247493463,13.832622640492385
EState_VSA10,0.0,96.5946407666716,11.42885275864374,9.828257259894635
EState_VSA2,0.0,929.9231444439001,26.644099977890367,30.494641241436177
EState_VSA3,0.0,47.456121407107084,3.919739440206827,6.888840352853816
EState_VSA4,0.0,90.58076695764885,6.200377921297763,9.517392865572422
EState_VSA5,0.0,102.99468638077806,5.983424460360674,10.14862977848626
